city,address,latitude,longitude
New York,"50 W 45th St, New York, NY 10036, EUA",40.7579041,-73.9858081
New York,"930-938 5th Ave, New York, NY 10021, EUA",40.7740965,-73.9664851
New York,"Nova Iorque, NY 10021, EUA",40.774704,-73.9692068
New York,"2-26 N 3rd St, Brooklyn, NY 11249, EUA",40.7185865,-73.966248
New York,"West Dr, Brooklyn, NY 11215, EUA",40.668186,-73.9743779
Vancouver,"616-600 Robson St, Vancouver, BC V6B 2B9, Canadá",49.2808868,-123.1215217
Vancouver,"305-389 W 14th Ave, Vancouver, BC V5Y 1X3, Canadá",49.2586938,-123.1127361
Vancouver,"Pipeline Rd, Vancouver, BC V6G 3E2, Canadá",49.3033454,-123.1370093
Vancouver,"1790 Denman St, Vancouver, BC V6G 0A8, Canadá",49.2864497,-123.1437665
Vancouver,"2049-2075 Comox St, Vancouver, BC, Canadá",49.2912262,-123.1442994
Aspen,"301-399 E Hopkins Ave, Aspen, CO 81611, EUA",39.1899869,-106.8213156
Aspen,"414-406 Lacet Ln, Aspen, CO 81611, EUA",39.1854693,-106.8110411
Aspen,"470 Rio Grande Pl, Aspen, CO 81611, Estados Unidos",39.192332,-106.8178957
Aspen,"586-590 N Mill St, Aspen, CO 81611, EUA",39.1943052,-106.8196529
Aspen,"898-800 Summit St, Aspen, CO 81611, EUA",39.1853375,-106.8218775
São Paulo,"R. Vinte e Cinco de Março, 975-959 - Centro Histórico de São Paulo, São Paulo - SP, 01021-200",-23.5412709,-46.6327688
São Paulo,"R. César Augusto, 76 - Vila Romana, São Paulo - SP, 05044-020",-23.527676,-46.6950329
São Paulo,"Av. Pedro Álvares Cabral, s/n - Vila Mariana, São Paulo - SP, 04094-050",-23.5864867,-46.6581154
São Paulo,"Marginal Pinheiros, 359 - Jardim Morumbi, São Paulo - SP",-23.6241759,-46.7116402
São Paulo,"Av. Prof. Lineu Prestes - Butantã, São Paulo - SP, 05508-000",-23.5658132,-46.7269206
Campina Grande,"R. Venâncio Neiva, 85b - Centro, Campina Grande - PB, 58400-090",-7.2187418,-35.8854092
Campina Grande,"R. Absalão Emerenciano, 231-15 - Cruzeiro, Campina Grande - PB, 58415-580",-7.2509104,-35.9066501
Campina Grande,"Av. Dr. Elpídio de Almeida, 215 - Catolé, Campina Grande - PB, 58410-725",-7.226974,-35.878447
Campina Grande,"R. Dr. Severino Cruz, 491-301 - Centro, Campina Grande - PB",-7.2250527,-35.8816382
Campina Grande,"R. Leniel Sucupira M Deajmeira, 288-394 - Monte Santo, Campina Grande - PB",-7.2132595,-35.9069415
Tibau do Sul,"Av. Baía dos Golfinhos, 802-814, Tibau do Sul - RN, 59178-000",-6.2290625,-35.0501158
Tibau do Sul,"Tv. Harmonia 02, Pipa (Tibau do Sul) - RN, 59178-000",-6.2431176,-35.0506577
Tibau do Sul,"PWWP+GP, Tibau do Sul - RN, 59178-000",-6.2537015,-35.0657486
Tibau do Sul,"Largo São Sebastião, 35-37, Tibau do Sul - RN, 59178-000",-6.2279973,-35.046775
Tibau do Sul,"R. das Acácias, 31, Tibau do Sul - RN, 59178-000",-6.2325947,-35.0425869
Londres,"3-15 Whitcomb St., London, Reino Unido",51.508712,-0.130183
Londres,"50-2 Collingbourne Rd, London, Reino Unido",51.509025,-0.235130
Londres,"Emma FitzGerald Walk, London W2 2UH, Reino Unido",51.508826,-0.163524
Londres,"The Queen's Walk, London SE1 7PB, Reino Unido",51.502060,-0.119699
Londres,"86-85 De Laune St, London SE17 3UT, Reino Unido",51.485640,-0.107424
Amsterdam,"Rokin, Amsterdam, Países Baixos",52.371757,4.892806
Amsterdam,"Govert Flinckstraat 127II, 1072 EG Amsterdam, Países Baixos",52.354877,4.892269
Amsterdam,"Heimanspad, 1073 CX Amsterdam, Países Baixos",52.354118,4.897775
Amsterdam,"Smederij 2-20, 1021 NG Amsterdam, Países Baixos",52.381379,4.914643
Amsterdam,"Meidoornweg 16-20, 1031 GM Amsterdam, Países Baixos",52.387055,4.910223
Bath,"Pierrepont St, Bath BA2 4AF, Reino Unido",51.379944,-2.357126
Bath,"Quarry Rock Gardens, Bath BA2 6EF, Reino Unido",51.373304,-2.332214
Bath,"Bath BA1 2LZ, Reino Unido",51.388020,-2.376018
Bath,"Bristol And Bath Railway Path, Bath, Reino Unido",51.382790,-2.384838
Bath,"35 Calton Gardens, Bath BA2 4QG, Reino Unido",51.375770,-2.360877